,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barnstaple,40,GB,1569332581,64,51.08,-4.06,68.0,18.34
1,Puerto Ayora,75,EC,1569332330,77,-0.74,-90.35,69.8,14.99
2,Sidi Ali,39,DZ,1569332554,67,36.1,0.42,75.47,5.79
3,Hilo,90,US,1569332325,88,19.71,-155.08,75.2,5.82
4,Hasaki,75,JP,1569332366,94,35.73,140.83,72.0,6.93
5,Ushuaia,75,AR,1569332315,80,-54.81,-68.31,51.8,36.91
6,Albany,75,US,1569332146,72,42.65,-73.75,66.99,5.82
7,Atuona,0,PF,1569332326,78,-9.8,-139.03,78.35,19.1
8,Rikitea,63,PF,1569332316,73,-23.12,-134.97,69.71,10.38
9,Ostrovnoy,100,RU,1569332365,87,68.05,39.51,35.69,19.13
10,Walvis Bay,0,NA,1569332593,44,-22.95,14.51,77.0,11.41
11,Fukue,40,JP,1569332342,73,35.03,136.69,73.4,21.92
12,Carnarvon,0,ZA,1569332338,25,-30.97,22.13,67.19,22.68
13,Butaritari,80,KI,1569332320,71,3.07,172.79,83.57,8.16
14,Lebu,50,ET,1569332334,87,8.96,38.73,60.53,4.83
15,Port Elizabeth,1,US,1569332328,56,39.31,-74.98,75.0,11.41
16,Barcelos,24,BR,1569332505,48,-0.97,-62.93,91.67,4.34
17,Bethel,1,US,1569332326,78,60.79,-161.76,35.6,8.05
18,Busselton,24,AU,1569332317,66,-33.64,115.35,55.0,11.03
19,Klyuchi,65,RU,1569332391,56,52.25,79.17,53.33,9.24
20,Dingle,16,PH,1569332375,89,11.0,122.67,75.83,5.84
21,Shimoda,75,JP,1569332388,83,34.7,138.93,73.0,3.36
22,Shache,0,CN,1569332612,67,38.42,77.24,70.0,5.41
23,Vaini,75,IN,1569332324,83,15.34,74.49,80.6,6.93
24,Hermanus,0,ZA,1569332330,72,-34.42,19.24,75.0,11.01
25,Harbin,0,CN,1569332615,87,45.77,126.62,46.4,2.24
26,La Malbaie,100,CA,1569332433,95,47.66,-70.15,52.0,11.01
27,Kapaa,90,US,1569332314,78,22.08,-159.32,80.6,13.87
28,Saint George,75,GR,1569332343,69,39.45,22.34,75.2,4.7
29,Te Anau,83,NZ,1569332373,91,-45.41,167.72,37.31,7.81
30,Punta Arenas,0,CL,1569332318,71,-53.16,-70.91,50.0,27.51
31,Mahebourg,75,MU,1569332322,64,-20.41,57.7,75.2,11.41
32,Saint-Philippe,75,CA,1569332337,76,45.36,-73.48,61.0,6.93
33,Bluff,100,AU,1569332325,88,-23.58,149.07,63.05,10.33
34,Corinto,20,CO,1569332625,73,3.17,-76.26,73.4,2.24
35,Port Alfred,72,ZA,1569332315,72,-33.59,26.89,64.0,5.01
36,Meulaboh,100,ID,1569332504,75,4.14,96.13,81.95,2.51
37,Sobolevo,89,RU,1569332397,71,54.43,31.9,44.69,4.34
38,Fortuna,1,US,1569332380,93,40.6,-124.16,53.01,5.82
39,Bay Roberts,90,CA,1569332630,93,47.58,-53.28,57.0,9.17
40,Mataura,72,NZ,1569332320,84,-46.19,168.86,39.99,5.99
41,Tuktoyaktuk,90,CA,1569332349,93,69.44,-133.03,35.6,3.36
42,Pisco,40,PE,1569332345,30,-13.71,-76.2,71.6,3.36
43,Barrow,0,AR,1569332328,33,-38.31,-60.23,71.51,4.45
44,Cape Town,20,ZA,1569332137,53,-33.93,18.42,75.0,23.04
45,Jizan,20,SA,1569332528,63,16.89,42.56,95.0,12.75
46,Mareeba,40,AU,1569332513,78,-16.99,145.42,72.0,9.17
47,Castro,40,CL,1569332329,100,-42.48,-73.76,51.8,1.12
48,Tchibanga,89,GA,1569332640,70,-2.92,11.0,81.77,8.84
49,Vardo,1,US,1569332356,63,39.62,-77.74,70.0,10.29
50,Pevek,100,RU,1569332379,84,69.7,170.27,35.51,17.96
51,Bambous Virieux,75,MU,1569332324,64,-20.34,57.76,75.2,11.41
52,Ancud,40,CL,1569332644,100,-41.87,-73.83,51.8,1.12
53,Daru,39,PG,1569332645,83,-9.07,143.21,74.21,8.12
54,Weihai,0,CN,1569332646,60,37.5,122.11,57.0,5.68
55,Santa Cruz,0,BR,1569332648,29,-6.22,-36.02,91.13,16.87
56,Vestmannaeyjar,90,IS,1569332495,100,63.44,-20.27,50.0,14.99
57,Dikson,100,RU,1569332324,90,73.51,80.55,35.87,17.67
58,Souillac,90,FR,1569332333,56,45.6,-0.6,73.4,23.04
59,Victoria,75,BN,1569332095,74,5.28,115.24,86.0,13.87
60,Turbat,2,PK,1569332653,56,26.0,63.05,87.53,11.3
61,Salym,76,RU,1569332654,85,60.06,71.48,36.41,9.64
62,Ambulu,0,ID,1569332656,90,-8.35,113.61,75.11,9.71
63,Marinette,1,US,1569332657,82,45.1,-87.63,60.8,3.36
64,Oakdale,1,US,1569332658,30,37.77,-120.85,73.99,2.35
65,Dukat,29,AL,1569332362,62,40.25,19.57,75.99,11.99
66,Portland,20,US,1569332244,64,43.66,-70.25,72.0,10.29
67,Rudno,0,PL,1569332661,55,51.75,22.95,64.4,5.82
68,Baiyin,20,CN,1569332663,100,36.55,104.13,50.0,4.47
69,Provideniya,82,RU,1569332363,93,64.42,-173.23,29.93,3.31
70,Airai,30,TL,1569332378,88,-8.93,125.41,70.61,5.28
71,Hithadhoo,100,MV,1569332330,80,-0.6,73.08,79.79,18.3
72,Faanui,100,PF,1569332355,74,-16.48,-151.75,79.79,17.54
73,Khatanga,0,RU,1569332363,88,71.98,102.47,34.61,9.08
74,Trofors,0,NO,1569332669,57,65.54,13.39,55.4,3.36
75,Labuhan,28,ID,1569332494,59,-2.54,115.51,73.85,2.08
76,Yellowknife,20,CA,1569332314,76,62.45,-114.38,32.0,8.05
77,Ponta do Sol,16,BR,1569332340,42,-20.63,-46.0,78.35,8.41
78,Misratah,7,LY,1569332673,81,32.38,15.09,79.07,17.2
79,Touros,40,BR,1569332368,58,-5.2,-35.46,82.4,13.87
80,Asyut,0,EG,1569332675,38,27.18,31.19,89.6,13.87
81,Ranong,20,TH,1569332535,74,9.96,98.62,84.2,3.36
82,Atikokan,71,CA,1569332678,70,48.76,-91.62,59.99,11.21
83,Cidreira,0,BR,1569332385,50,-30.17,-50.22,69.53,7.63
84,Jamestown,0,AU,1569332315,89,-33.21,138.6,43.61,7.67
85,Nuuk,20,GL,1569332402,86,64.17,-51.74,41.0,8.05
86,Yar-Sale,94,RU,1569332499,87,66.83,70.83,35.69,15.23
87,San Cristobal,0,HN,1569332383,70,14.68,-86.92,79.25,1.52
88,Zhangye,0,CN,1569332684,27,38.94,100.46,58.55,1.86
89,Kodiak,1,US,1569332326,82,39.95,-94.76,64.0,3.36
90,Orsha,75,BY,1569332687,45,54.51,30.43,48.2,6.71
91,Fallon,1,US,1569332688,71,46.84,-105.12,57.0,11.41
92,Norman Wells,75,CA,1569332346,90,65.28,-126.83,33.8,6.93
93,Najran,40,SA,1569332356,15,17.54,44.22,95.0,6.93
94,Sucre,15,BO,1569332691,51,-19.05,-65.26,59.0,7.52
95,Huilong,100,CN,1569332692,74,31.15,106.5,68.45,2.75
96,Chitral,0,PK,1569332693,40,35.85,71.79,51.53,5.23
97,New Norfolk,75,AU,1569332331,61,-42.78,147.06,48.2,6.93
98,Kruisfontein,93,ZA,1569332516,74,-34.0,24.73,56.93,11.79
